building_code,building_name,building_address,lat,lon
RTA,Regal Trojan Apts.,870 W. Adams Blvd.,34.03059882352941,-118.28170523529413
RTH,Ronald Tutor Hall of Engineering,3710 McClintock Ave.,34.0200873,-118.28983494478524
RZC,Robert Zemeckis Ctr. for Digital Arts,3131 S. Figueroa St.,33.7833185,-118.280348
SAC,Sacramento Center,1800 I Street Sacramento CA,38.5781318,-121.48196239421537
SAI,Stardust Apts.,634 W. 27th St.,34.02735007070707,-118.27744476767677
SAL,Salvatori Computer Science Ctr.,941 Bloom Walk,34.02016008163265,-118.28926924489797
SCA,School of Cinematic Arts,900 W. 34th St.,34.023498,-118.285986
SCB,School of Cinematic Arts Bldg. B,930 W. 34th St.,34.023823199999995,-118.28703719858999
SCC,School of Cinematic Arts Bldg. C,935 W. 35th St.,34.0234413,-118.28713514181361
SCD,Scene Dock (Theatre),1030 W. 37th St.,34.0206484,-118.29124043689092
SCE,School of Cinematic Arts Bldg. E,905 W. 35th St.,34.02340757142857,-118.28787312244899
SCI,School of Cinematic Arts Bldg. I,3470 McClintock Ave.,34.0238528,-118.2875827984869
SCO,USC Building One,1149 S. Hill St.,34.039520959183676,-118.26054575510204
SCP,South Coast Plaza Bldg.,3333 Bristol St. Costa Mesa,33.69098920195343,-117.8856245978664
SCS,School of Cinematic Arts Station,639 W. 32nd St.,34.023880346938775,-118.27959728571429
SCT,USC Building Two,1150 S. Olive St.,34.03939855,-118.26134413225881
SCX,School of Cinematic Arts Bldg. D,915 W. 35th St.,34.0231943,-118.28680021397273
SGA,Seven Gables Apts.,620-626 W. 30th St.,34.0273949,-118.3194279
SGM,Seeley G. Mudd Bldg.,3620 McClintock Ave.,34.021482,-118.289002
SHN,Stevens Hall Neuroimaging,2025 Zonal Ave.,34.06022105479452,-118.20618926027397
SHS,Stauffer Hall of Science,835 Bloom Walk,34.01941806122449,-118.287477
SIE,Sierra Apts.,2638 Portland St.,34.03036307070707,-118.2823128080808
SKS,Steven and Kathryn Sample Hall,3607 Trousdale Pkwy.,34.019737375,-118.285719875
SLH,Stauffer Science Lecture Hall,831 Bloom Walk,34.01944887755102,-118.287553
SNA,Senator Apts.,1101-1109 W. 28th St.,34.0261626,-118.2761688
SOS,Social Science Bldg.,3502 Trousdale Pkwy.,34.02158105,-118.28376335
SPA,Shrine Place Apartments,3015-3017 Shrine Pl.,34.0249896,-118.2801875
SRH,Seaver Residence Hall,1969 Zonal Ave.,34.06056012328767,-118.20695983561643
SSA,Severance St. Apts.,2630 Severance St.,34.029892424242426,-118.28103684848485
SSB,Soto Street Building,2001 N. Soto St.,34.5534061,-112.2399242
SSC,Seaver Science Ctr.,920 Bloom Walk,34.019806349999996,-118.28928017499999
SSH,Severance St. House,2716 Severance St.,34.029082373737374,-118.28155241414142
SSL,Seaver Science Library,910 Bloom Walk,34.01958475,-118.28875795263158
SST,Soto Street Building Two,2011 Soto St.,34.06616798820178,-118.19632860467186
STO,Stonier Hall,837 Downey Way,34.0202713,-118.28688038487181
STU,Gwynn Wilson Student Union,3601 Trousdale Pkwy.,34.019667,-118.285769
